date,open,high,low,close,adjclose,volume
2015-05-08,126.68,127.62,126.11,127.62,117.934,55473820
2015-05-11,127.39,127.56,125.625,126.32,116.733,41920740
2015-05-12,125.6,126.88,124.82,125.865,116.312,48073450
2015-05-13,126.15,127.19,125.87,126.01,116.446,34611600
2015-05-14,127.41,128.95,127.16,128.95,119.163,45123920
2015-05-15,129.07,129.49,128.21,128.77,118.997,38128470
2015-05-18,128.38,130.72,128.36,130.19,120.309,50723240
2015-05-19,130.69,130.88,129.64,130.07,120.198,44395440
2015-05-20,130,130.98,129.34,130.06,120.189,36261170
2015-05-21,130.07,131.63,129.83,131.39,121.418,39589780
2015-05-22,131.6,132.97,131.4,132.54,122.481,45595972
2015-05-26,132.6,132.91,129.12,129.62,119.782,70544670
2015-05-27,130.34,132.26,130.05,132.045,122.023,45771120
2015-05-28,131.86,131.95,131.1,131.78,121.778,30678840
2015-05-29,131.23,131.45,129.9,130.28,120.392,50884452
2015-06-01,131.2,131.39,130.05,130.535,120.628,32016020
2015-06-02,129.86,130.655,129.32,129.96,120.097,33595980
2015-06-03,130.66,130.94,129.9,130.12,120.244,30939810
2015-06-04,129.58,130.58,128.91,129.36,119.542,38335980
2015-06-05,129.5,129.69,128.36,128.65,118.886,35626800
2015-06-08,128.9,129.21,126.83,127.8,118.1,52609900
2015-06-09,126.7,128.08,125.62,127.42,117.749,56002840
2015-06-10,127.92,129.34,127.85,128.88,119.098,39087250
2015-06-11,129.18,130.18,128.475,128.59,118.831,35390887
2015-06-12,128.185,128.33,127.11,127.17,117.518,36886246
2015-06-15,126.1,127.24,125.71,126.92,117.287,43896960
2015-06-16,127.03,127.85,126.37,127.6,117.916,31443650
2015-06-17,127.72,127.88,126.74,127.3,117.638,32858900
2015-06-18,127.23,128.31,127.22,127.88,118.174,35363990
2015-06-19,127.71,127.82,126.4,126.6,116.992,54361530
2015-06-22,127.49,128.06,127.08,127.61,117.925,33976180
2015-06-23,127.48,127.61,126.879,127.03,117.389,30192140
2015-06-24,127.21,129.8,127.12,128.11,118.387,55077520
2015-06-25,128.86,129.2,127.5,127.5,117.823,31872390
2015-06-26,127.67,127.99,126.51,126.75,117.13,44066841
2015-06-29,125.46,126.47,124.48,124.53,115.079,49043410
2015-06-30,125.57,126.12,124.86,125.425,115.906,44326050
2015-07-01,126.9,126.94,125.99,126.6,116.992,30206890
2015-07-02,126.43,126.69,125.77,126.44,116.844,27171180
2015-07-06,124.94,126.23,124.85,126,116.437,27972950
2015-07-07,125.89,126.15,123.77,125.69,116.151,46737090
2015-07-08,124.48,124.64,122.54,122.57,113.267,60609830
2015-07-09,123.85,124.06,119.22,120.07,110.957,78291510
2015-07-10,121.94,123.85,121.21,123.28,113.924,61354474
2015-07-13,125.03,125.755,124.32,125.66,116.123,41365600
2015-07-14,126.04,126.37,125.04,125.61,116.077,31695870
2015-07-15,125.72,127.15,125.58,126.82,117.195,33559770
2015-07-16,127.74,128.57,127.35,128.51,118.757,35987630
2015-07-17,129.08,129.62,128.31,129.62,119.782,45970470
2015-07-20,130.97,132.97,130.7,132.07,122.046,55204920
2015-07-21,132.85,132.92,130.32,130.75,120.826,73006780
2015-07-22,121.99,125.5,121.99,125.22,115.716,115288400
2015-07-23,126.2,127.09,125.06,125.16,115.661,50832950
2015-07-24,125.32,125.74,123.9,124.5,115.051,42162332
2015-07-27,123.09,123.61,122.12,122.77,113.452,44371580
2015-07-28,123.38,123.91,122.55,123.38,114.016,33570380
2015-07-29,123.15,123.5,122.27,122.99,113.656,36912040
2015-07-30,122.32,122.57,121.71,122.37,113.082,33400950
2015-07-31,122.6,122.642,120.91,121.3,112.094,42884953
2015-08-03,121.5,122.57,117.52,118.44,109.451,69639900
2015-08-04,117.42,117.7,113.25,114.64,105.939,123601900
2015-08-05,112.95,117.44,112.1,115.4,106.641,99202400
2015-08-06,115.97,116.5,114.115,115.13,106.874,52828890
2015-08-07,114.58,116.25,114.5,115.52,107.236,38610120
2015-08-10,116.53,119.99,116.53,119.72,111.134,54951597
2015-08-11,117.81,118.18,113.33,113.49,105.351,96820670
2015-08-12,112.53,115.42,109.63,115.24,106.976,101593400
2015-08-13,116.04,116.4,114.54,115.15,106.892,48407640
2015-08-14,114.32,116.31,114.01,115.96,107.644,42876370
2015-08-17,116.04,117.65,115.5,117.16,108.758,40827260
2015-08-18,116.43,117.44,116.01,116.5,108.145,34525630
2015-08-19,116.1,116.52,114.68,115.01,106.762,48079330
2015-08-20,114.08,114.35,111.63,112.65,104.572,68176940
2015-08-21,110.43,111.9,105.645,105.76,98.176,128275471
2015-08-24,94.87,108.8,92,103.12,95.725,161882500
2015-08-25,111.11,111.11,103.5,103.74,96.3,102731700
2015-08-26,107.085,109.89,105.05,109.69,101.824,96531890
2015-08-27,112.23,113.24,110.02,112.92,104.822,83825220
2015-08-28,112.17,113.31,111.54,113.29,105.166,53075960
2015-08-31,112.03,114.53,112,112.76,104.674,56111590
2015-09-01,110.15,111.88,107.36,107.72,99.995,76562170
2015-09-02,110.23,112.34,109.131,112.34,104.284,61681250
2015-09-03,112.49,112.78,110.04,110.37,102.455,53142590
2015-09-04,108.97,110.45,108.51,109.27,101.434,49996311
2015-09-08,111.65,112.56,110.32,112.31,104.256,54507300
2015-09-09,113.76,114.02,109.77,110.15,102.251,84757780
2015-09-10,110.27,113.282,109.9,112.57,104.497,62800770
2015-09-11,111.79,114.21,111.76,114.21,106.02,49793750
2015-09-14,116.58,116.89,114.86,115.31,107.041,58279570
2015-09-15,115.93,116.53,114.42,116.28,107.941,43218350
2015-09-16,116.25,116.54,115.44,116.41,108.062,37080720
2015-09-17,115.66,116.49,113.715,113.92,105.75,63712340
2015-09-18,112.21,114.3,111.87,113.45,105.314,73991000
2015-09-21,113.67,115.37,113.66,115.21,106.948,46594220
2015-09-22,113.38,114.18,112.52,113.4,105.268,50278030
2015-09-23,113.63,114.72,113.3,114.32,106.122,35678360
2015-09-24,113.25,115.5,112.37,115,106.753,50061580
2015-09-25,116.44,116.69,114.02,114.71,106.484,56005550
2015-09-28,113.85,114.57,112.44,112.44,104.376,51861990
2015-09-29,112.83,113.51,107.86,109.06,101.239,73230280
2015-09-30,110.17,111.54,108.73,110.3,102.39,66300930
2015-10-01,109.07,109.62,107.31,109.58,101.722,63849470
2015-10-02,108.01,111.014,107.55,110.38,102.464,57774940
2015-10-05,109.88,111.37,109.07,110.78,102.836,52033100
2015-10-06,110.63,111.74,109.765,111.31,103.328,48702200
2015-10-07,111.74,111.77,109.41,110.78,102.836,46717770
2015-10-08,110.19,110.19,108.21,109.5,101.647,61747260
2015-10-09,110,112.28,109.49,112.12,104.079,52720620
2015-10-12,112.73,112.75,111.44,111.6,103.597,30386830
2015-10-13,110.82,112.45,110.68,111.79,103.773,32970790
2015-10-14,111.29,111.52,109.56,110.21,102.306,44434220
2015-10-15,110.93,112.1,110.49,111.86,103.838,37622200
2015-10-16,111.78,112,110.53,111.04,103.077,38794930
2015-10-19,110.8,111.75,110.11,111.73,103.717,29723750
2015-10-20,111.34,114.17,110.82,113.77,105.611,48929200
2015-10-21,114,115.58,113.7,113.76,105.602,42276880
2015-10-22,114.33,115.5,114.1,115.5,107.217,41430660
2015-10-23,116.7,119.228,116.33,119.08,110.54,59366914
2015-10-26,118.08,118.13,114.92,115.28,107.013,66333781
2015-10-27,115.4,116.54,113.99,114.55,106.335,69884400
2015-10-28,116.93,119.3,116.06,119.27,110.717,85551352
2015-10-29,118.7,120.69,118.27,120.53,111.886,51227334
2015-10-30,120.99,121.22,119.45,119.5,110.93,49365254
2015-11-02,119.87,121.36,119.61,121.18,112.49,32203267
2015-11-03,120.79,123.49,120.7,122.57,113.78,45505313
2015-11-04,123.13,123.82,121.62,122,113.251,44886050
2015-11-05,121.85,122.69,120.18,120.92,112.729,39552680
2015-11-06,121.11,121.81,120.62,121.06,112.859,33042283
2015-11-09,120.96,121.81,120.05,120.57,112.403,33871405
2015-11-10,116.9,118.07,116.061,116.77,108.86,59127931
2015-11-11,116.37,117.42,115.21,116.11,108.245,45217971
2015-11-12,116.26,116.82,115.65,115.72,107.881,32525579
2015-11-13,115.2,115.57,112.27,112.34,104.73,45786947
2015-11-16,111.38,114.24,111,114.175,106.441,38106701
2015-11-17,114.92,115.05,113.32,113.69,105.989,27616939
2015-11-18,115.76,117.49,115.5,117.29,109.345,46674697
2015-11-19,117.64,119.75,116.76,118.78,110.734,43295820
2015-11-20,119.2,119.92,118.85,119.3,111.219,34287096
2015-11-23,119.27,119.73,117.34,117.75,109.774,32482528
2015-11-24,117.33,119.35,117.12,118.88,110.827,42795771
2015-11-25,119.21,119.23,117.92,118.03,110.035,21388308
2015-11-27,118.29,118.41,117.6,117.81,109.829,13046445
2015-11-30,117.99,119.41,117.75,118.3,110.286,39180322
2015-12-01,118.75,118.81,116.86,117.34,109.391,34852374
2015-12-02,117.05,118.11,116.08,116.28,108.403,33372909
2015-12-03,116.55,116.79,114.22,115.2,107.396,41569509
2015-12-04,115.29,119.25,115.11,119.03,110.967,57717870
2015-12-07,118.98,119.86,117.81,118.28,110.268,32063100
2015-12-08,117.52,118.6,116.86,118.23,110.221,34275420
2015-12-09,117.64,117.69,115.08,115.62,107.788,46301930
2015-12-10,116.04,116.94,115.51,116.17,108.301,29158640
2015-12-11,115.19,115.39,112.851,113.18,105.513,46810020
2015-12-14,112.18,112.68,109.79,112.48,104.861,64678220
2015-12-15,111.94,112.8,110.35,110.49,103.005,53168580
2015-12-16,111.07,111.99,108.8,111.34,103.798,56157370
2015-12-17,112.02,112.25,108.98,108.98,101.598,44654830
2015-12-18,108.91,109.52,105.81,106.03,98.847,96197190
2015-12-21,107.28,107.37,105.57,107.33,100.06,47507230
2015-12-22,107.4,107.72,106.451,107.23,99.966,32728460
2015-12-23,107.27,108.85,107.2,108.61,101.253,32657354
2015-12-24,109,109,107.95,108.03,100.712,13596680
2015-12-28,107.59,107.69,106.181,106.82,99.584,26639930
2015-12-29,106.96,109.43,106.86,108.74,101.374,30912260
2015-12-30,108.58,108.7,107.18,107.32,100.05,25184090
2015-12-31,107.01,107.03,104.82,105.26,98.13,40885480
2016-01-04,102.61,105.368,102,105.35,98.214,67569090
2016-01-05,105.75,105.85,102.41,102.71,95.752,55583140
2016-01-06,100.56,102.37,99.87,100.7,93.879,68384270
2016-01-07,98.68,100.13,96.43,96.45,89.916,80742460
2016-01-08,98.55,99.11,96.76,96.96,90.392,70722000
2016-01-11,98.97,99.06,97.34,98.53,91.856,49687870
2016-01-12,100.55,100.69,98.84,99.96,93.189,49046150
2016-01-13,100.32,101.19,97.3,97.39,90.793,62285770
2016-01-14,97.96,100.48,95.74,99.52,92.778,63000140
2016-01-15,96.2,97.71,95.36,97.13,90.55,79356010
2016-01-19,98.41,98.65,95.5,96.66,90.112,52960810
2016-01-20,95.1,98.19,93.42,96.79,90.233,72274300
2016-01-21,97.06,97.88,94.94,96.3,89.777,52099200
2016-01-22,98.63,101.46,98.37,101.42,94.55,65648660
2016-01-25,101.52,101.53,99.21,99.44,92.704,51529980
2016-01-26,99.93,100.88,98.07,99.99,93.217,71937310
2016-01-27,96.04,96.629,93.34,93.42,87.092,133059000
2016-01-28,93.79,94.52,92.39,94.09,87.716,55622370
2016-01-29,94.79,97.34,94.35,97.34,90.746,64332440
2016-02-01,96.47,96.71,95.4,96.43,89.898,40814360
2016-02-02,95.42,96.04,94.28,94.48,88.08,37190500
2016-02-03,95,96.84,94.08,96.35,89.823,45870130
2016-02-04,95.86,97.33,95.19,96.6,90.545,46418230
2016-02-05,96.52,96.92,93.69,94.02,88.127,46315620
2016-02-08,93.13,95.7,93.04,95.01,89.055,53920550
